race_date,sehir_id,agf_table_no,page_no,url,status,bytes,saved_file,message
2026-06-27,2,1,1,https://www.tjk.org/AGFv2/2/27062026/TR/1/1,success,126438,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_2_agf1_page1.html,Download successful
2026-06-27,2,2,1,https://www.tjk.org/AGFv2/2/27062026/TR/2/1,not_found,0,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_2_agf2_page1.html,Empty response body
2026-06-27,5,1,1,https://www.tjk.org/AGFv2/5/27062026/TR/1/1,success,101242,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_5_agf1_page1.html,Download successful
2026-06-27,5,2,1,https://www.tjk.org/AGFv2/5/27062026/TR/2/1,success,117385,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_5_agf2_page1.html,Download successful
2026-06-27,8,1,1,https://www.tjk.org/AGFv2/8/27062026/TR/1/1,success,135250,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_8_agf1_page1.html,Download successful
2026-06-27,8,2,1,https://www.tjk.org/AGFv2/8/27062026/TR/2/1,not_found,0,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_8_agf2_page1.html,Empty response body
2026-06-27,17,1,1,https://www.tjk.org/AGFv2/17/27062026/TR/1/1,success,130124,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_17_agf1_page1.html,Download successful
2026-06-27,17,2,1,https://www.tjk.org/AGFv2/17/27062026/TR/2/1,not_found,0,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_17_agf2_page1.html,Empty response body
2026-06-27,60,1,1,https://www.tjk.org/AGFv2/60/27062026/TR/1/1,success,141376,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_60_agf1_page1.html,Download successful
2026-06-27,60,2,1,https://www.tjk.org/AGFv2/60/27062026/TR/2/1,success,148651,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_60_agf2_page1.html,Download successful
2026-06-27,70,1,1,https://www.tjk.org/AGFv2/70/27062026/TR/1/1,success,95420,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_70_agf1_page1.html,Download successful
2026-06-27,70,2,1,https://www.tjk.org/AGFv2/70/27062026/TR/2/1,success,115151,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_70_agf2_page1.html,Download successful
2026-06-27,103,1,1,https://www.tjk.org/AGFv2/103/27062026/TR/1/1,success,118432,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_103_agf1_page1.html,Download successful
2026-06-27,103,2,1,https://www.tjk.org/AGFv2/103/27062026/TR/2/1,success,118901,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_103_agf2_page1.html,Download successful
2026-06-27,526,1,1,https://www.tjk.org/AGFv2/526/27062026/TR/1/1,success,103204,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_526_agf1_page1.html,Download successful
2026-06-27,526,2,1,https://www.tjk.org/AGFv2/526/27062026/TR/2/1,success,119505,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_526_agf2_page1.html,Download successful
2026-06-27,566,1,1,https://www.tjk.org/AGFv2/566/27062026/TR/1/1,success,143685,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_566_agf1_page1.html,Download successful
2026-06-27,566,2,1,https://www.tjk.org/AGFv2/566/27062026/TR/2/1,success,122590,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260627_566_agf2_page1.html,Download successful
2026-06-28,2,1,1,https://www.tjk.org/AGFv2/2/28062026/TR/1/1,success,141329,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_2_agf1_page1.html,Download successful
2026-06-28,2,2,1,https://www.tjk.org/AGFv2/2/28062026/TR/2/1,not_found,0,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_2_agf2_page1.html,Empty response body
2026-06-28,3,1,1,https://www.tjk.org/AGFv2/3/28062026/TR/1/1,success,182487,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_3_agf1_page1.html,Download successful
2026-06-28,3,2,1,https://www.tjk.org/AGFv2/3/28062026/TR/2/1,success,178389,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_3_agf2_page1.html,Download successful
2026-06-28,17,1,1,https://www.tjk.org/AGFv2/17/28062026/TR/1/1,success,146240,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_17_agf1_page1.html,Download successful
2026-06-28,17,2,1,https://www.tjk.org/AGFv2/17/28062026/TR/2/1,not_found,0,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_17_agf2_page1.html,Empty response body
2026-06-28,70,1,1,https://www.tjk.org/AGFv2/70/28062026/TR/1/1,success,103115,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_70_agf1_page1.html,Download successful
2026-06-28,70,2,1,https://www.tjk.org/AGFv2/70/28062026/TR/2/1,success,108383,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_70_agf2_page1.html,Download successful
2026-06-28,526,1,1,https://www.tjk.org/AGFv2/526/28062026/TR/1/1,success,131326,/opt/at_yaris_tahmini/data/agfv2_raw/html/20260628_526_agf1_page1.html,Download successful
