endpoint_key,status_class,http_status,latency_ms,sample_params_json,sample_body_json,message,probed_at,path,method,parameters_json,response_schema_json,api_key_unlocked_fields_json
GET:Country/Get,public_available,200.0,311,{},null,"{""m_cData"":[{""COUNTRY_ID"":0,""COUNTRY_EN"":""Unknown"",""COUNTRY_TR"":""Bilinmiyor"",""ABBREVIATION"":""-"",""ICON"":""unw"",""CODE"":0,""STALLION_LIST"":[]},{""COUNTRY_ID"":1,""COUNTRY_EN"":""TURKEY"",""COUNTRY_TR"":""Türkiye"",""ABBREVIATION"":""TUR"",""ICON"":""tr"",""CODE"":0,""STALLION_LIST"":[]},{""COUNTRY_ID"":2,""COUNTRY_EN"":""USA"",""COUNTRY_TR"":""Abd"",""ABBREVIATION"":""USA"",""ICON"":""us"",""CODE"":0,""STALLION_LIST"":[]},{""COUNTRY_ID"":3,""COUNTRY_EN"":""USA (Alaska)"",""COUNTRY_TR"":""Abd (Alaska)"",""ABBREVIATION"":""AK"",""ICON"":""us"",""CODE"":0,""STALLION_LIST"":[]},{""COUNTRY_ID"":4,""COUNTRY_EN"":""USA (Hawaii)"",""COUNTRY_TR"":""Abd (Havai)"",""ABBREVIATION"":""HI"",""ICON"":""us"",""CODE"":0,""STALLION_LIST"":[]},{""COUNTRY_ID"":5,""COUNTRY_EN"":""AFGHANISTAN"",""COUNTRY_TR"":""Afganistan"",""ABBREVIATION"":""AF"",""ICON"":""af"",""CODE"":0,""STALLION_LIST"":[]},{""COUNTRY_ID"":6,""COUNTRY_EN"":""GERMANY"",""COUNTRY_TR"":""Almanya"",""ABBREVIATION"":""GER"",""ICON"":""de"",""CODE"":0,""STALLION_LIST"":[]},{""COUNTRY_ID"":7,""COUNTRY_EN"":""AMERICAN SAMOA"",""COUNTRY_TR"":""Amerikan samoa"",""ABBREVIATION"":""AS"",""ICON"":""",2026-06-20T18:15:39.127171+00:00,Country/Get,GET,[],,[]
GET:FamilySuccess/Get,public_available,200.0,890,"{""p_iHorseId"":1}",null,"{""m_cData"":[],""m_cDetail"":{""m_eProcessState"":1,""m_sClass"":"""",""m_sMethod"":"""",""m_iLastId"":0,""m_cDataTable"":[],""m_lUserMessageList"":[""İşlem Başarılı"",""Process Successful""],""m_PageList"":[],""m_sErrorMessage"":null,""m_cException"":null}}",2026-06-20T18:15:40.021034+00:00,FamilySuccess/Get,GET,"[""p_iHorseId""]",,[]
GET:Tjk/Get,public_available,200.0,312,"{""p_iTjkId"":1}",null,"[{""HORSE_TABLE"":[{""ID"":22047,""TARIH"":""10.01.2005"",""SEHIR"":""Şanlıurfa"",""MESAFE"":1000,""PIST"":""K:"",""S"":""11"",""DERECE"":""1.12.18"",""KG"":""54,5"",""TAKI"":""KG"",""JOKEY"":""ÖZ.GÖKÇE"",""ST"":""10"",""GNY"":""22,7"",""GRUP"":""3İ"",""K_NO_K_ADI"":""6"",""K_CINS"":""Maiden"",""ANTRENOR"":""S.KONUK"",""SAHIP"":""ABDULKADIR ÜÇEŞ"",""HP"":"""",""IKRAMIYE"":"""",""S_20"":""20"",""VIDEO"":null,""FOTO"":""https://foto-cdn.tjk.org/fotoftp/2005/0501106.jpg""}],""HORSE_HEADER"":[{""BASLIK"":""TOPLAM "",""K"":""1"",""BIRINCILIK"":""0"",""IKINCILIK"":""0"",""UCUNCULUK"":""0"",""DORDUNCULUK"":""0"",""BESINCILIK"":""0"",""KAZANC"":""0 ₺""},{""BASLIK"":""Çim "",""K"":""0"",""BIRINCILIK"":""0"",""IKINCILIK"":""0"",""UCUNCULUK"":""0"",""DORDUNCULUK"":""0"",""BESINCILIK"":""0"",""KAZANC"":""0 ₺""},{""BASLIK"":""Kum "",""K"":""1"",""BIRINCILIK"":""0"",""IKINCILIK"":""0"",""UCUNCULUK"":""0"",""DORDUNCULUK"":""0"",""BESINCILIK"":""0"",""KAZANC"":""0 ₺""},{""BASLIK"":""Sentetik "",""K"":""0"",""BIRINCILIK"":""0"",""IKINCILIK"":""0"",""UCUNCULUK"":""0"",""DORDUNCULUK"":""0"",""BESINCILIK"":""0"",""KAZANC"":""0 ₺""}],""TJK_ID"":1,""BIRTH_DATE"":""20.03.2002"",""NAME"":""ÜÇEŞ FIRTINASI"",""FATHER_NAME"":""MICHAEL",2026-06-20T18:22:22.266458+00:00,Tjk/Get,GET,"[""p_iTjkId""]",,[]
GET:Tjk/GetHorseFromTjk,public_available,200.0,641,"{""p_iTjkId"":1}",null,"{""HORSE_NAME"":"""",""BIRTH_DATE_TEXT"":"""",""WINNER_TYPE_ID"":-1,""FIRST"":-1,""SECOND"":-1,""THIRD"":-1,""FOURTH"":-1,""TOTAL"":-1,""EARN"":-1,""HANDIKAP"":0,""G1"":0,""G2"":0,""G3"":0,""SINIF"":0,""G1W_CARI"":0,""G2W_CARI"":0,""G3W_CARI"":0,""SINIF_CARI"":0,""G1W_X"":0,""G2W_X"":0,""G3W_X"":0,""SINIF_X"":0,""G1W_X1"":0,""G2W_X1"":0,""G3W_X1"":0,""SINIF_X1"":0,""G1_LAST_DATE"":""1900-01-01T00:00:00"",""G1_WINNER_LAST_DATE"":""1900-01-01T00:00:00"",""G2_WINNER_LAST_DATE"":""1900-01-01T00:00:00"",""G3_WINNER_LAST_DATE"":""1900-01-01T00:00:00"",""GAZI_OR_CUMHURIYET"":false,""EARN_CARI"":0,""EARN_X"":0,""EARN_X1"":0,""GENERAL"":[],""CIM"":[],""KUM"":[],""SENTETIK"":[],""TJK_CONDITION_RACE"":[]}",2026-06-20T18:15:51.996481+00:00,Tjk/GetHorseFromTjk,GET,"[""p_iTjkId""]",,[]
GET:Tjk/GetRestRace,public_available,200.0,577,"{""p_iRaceId"":1,""p_iTjkId"":1}",null,"{""TJK_ID"":1,""RACE_ID"":1,""BIRT_DATE"":""2002-03-20T00:00:00"",""AGE"":24,""EARN"":0,""POINT"":94,""START"":1,""FIRST"":0}",2026-06-20T18:15:54.151839+00:00,Tjk/GetRestRace,GET,"[""p_iTjkId"",""p_iRaceId""]",,[]
GET:Horse/GetCount,requires_api_key,401.0,922,{},null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:40.960242+00:00,Horse/GetCount,GET,[],,"[""total internal horse record count""]"
GET:HorseInfo/GetById,requires_api_key,401.0,922,"{""p_iId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:41.896595+00:00,HorseInfo/GetById,GET,"[""p_iId""]",,"[""HORSE_ID"", ""HORSE_NAME"", ""FATHER_ID/NAME"", ""MOTHER_ID/NAME"", ""BM_SIRE_NAME"", ""COLOR_TEXT"", ""SEX_OBJECT"", ""EARN"", ""START_COUNT"", ""FIRST-FOURTH"", ""OWNER"", ""BREEDER"", ""COACH"", ""IMAGE_LIST""]"
GET:HorseInfo/GetFoals,requires_api_key,401.0,234,"{""p_iHorseId"":1,""p_iTypeId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:24:40.555724+00:00,HorseInfo/GetFoals,GET,"[""p_iHorseId"",""p_iTypeId""]",,"[""foal HORSE_INFO profiles"", ""foal earnings"", ""foal career statistics""]"
GET:HorseInfo/GetLatest,requires_api_key,401.0,1266,"{""p_iRaceId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:44.207222+00:00,HorseInfo/GetLatest,GET,"[""p_iRaceId""]",,"[""latest HORSE_INFO records"", ""HORSE_ID"", ""parents"", ""profile summary""]"
GET:ImageInfo/GetById,requires_api_key,401.0,718,"{""p_iHorseId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:44.943544+00:00,ImageInfo/GetById,GET,"[""p_iHorseId""]",,"[""INFO"", ""IMAGE"", ""IMAGE_LIST""]"
