endpoint_key,method,path,parameters_json,safety_class
GET:StableTeam/Get,GET,StableTeam/Get,"[""p_iStableTeamId"", ""p_iStableId""]",read
GET:Registration/Get,GET,Registration/Get,[],read
GET:Registration/GetAsNameId,GET,Registration/GetAsNameId,"[""p_iLanguage""]",read
GET:Registration/GetAsNameIdForStallion,GET,Registration/GetAsNameIdForStallion,"[""p_iHorseId"", ""p_iLanguage""]",read
GET:PageHeader/Get,GET,PageHeader/Get,"[""p_iHorse1Id"", ""p_iHorse2Id"", ""p_sPath"", ""p_iLanguage""]",read
GET:PageHeader/GetDetail,GET,PageHeader/GetDetail,[],read
GET:PageHeader/GetByLink,GET,PageHeader/GetByLink,"[""p_sPath"", ""p_iLanguage""]",read
GET:PageHeader/GetByLinkArabian,GET,PageHeader/GetByLinkArabian,"[""p_sPath"", ""p_iLanguage""]",read
GET:Bool/Get,GET,Bool/Get,[],read
GET:Bool/GetAsNameId,GET,Bool/GetAsNameId,"[""p_iLanguage""]",read
GET:ImageInfo/GetFatherById,GET,ImageInfo/GetFatherById,"[""p_iHorseId""]",read
GET:ImageInfo/GetMotherById,GET,ImageInfo/GetMotherById,"[""p_iHorseId""]",read
GET:ImageInfo/GetBmSireById,GET,ImageInfo/GetBmSireById,"[""p_iHorseId""]",read
GET:HorseRaceParticipants/GetById,GET,HorseRaceParticipants/GetById,"[""p_iId""]",read
GET:HorseRaceParticipants/GetByHorseRaceId,GET,HorseRaceParticipants/GetByHorseRaceId,"[""p_iHorseRaceId""]",read
GET:StableMediaType/Get,GET,StableMediaType/Get,[],read
GET:StableMediaType/GetAsNameId,GET,StableMediaType/GetAsNameId,"[""p_iLanguage""]",read
GET:Node/Get,GET,Node/Get,"[""p_iId"", ""p_iCount""]",read
GET:SortType/Get,GET,SortType/Get,[],read
GET:FemaleFamily/GetFemaleFamilyReport,GET,FemaleFamily/GetFemaleFamilyReport,"[""p_iFirstId"", ""p_iSecondId"", ""p_iDamCount"", ""p_iGenerationCount""]",read
GET:FemaleFamily/GetFemaleFamily,GET,FemaleFamily/GetFemaleFamily,"[""p_iFirstId"", ""p_iSecondId"", ""p_iDamCount"", ""p_iGenerationCount""]",read
GET:SiteMap/GetSiteMap,GET,SiteMap/GetSiteMap,[],read
GET:RaceGender/GetByTjkConditionHorseId,GET,RaceGender/GetByTjkConditionHorseId,"[""p_iTjkConditonHorseId""]",read
GET:RaceGender/GetGeneralGenderAsNameId,GET,RaceGender/GetGeneralGenderAsNameId,"[""p_iLanguage""]",read
GET:StallionGroup/Get,GET,StallionGroup/Get,"[""p_iId"", ""p_sCountryId""]",read
GET:StallionGroup/GetByRaceId,GET,StallionGroup/GetByRaceId,"[""p_iId"", ""p_iRaceId"", ""p_sCountryId""]",read
GET:StallionGroup/GetByHorseIdList,GET,StallionGroup/GetByHorseIdList,"[""p_sHorseIdList""]",read
GET:StallionPage/GetRegisteredStallions,GET,StallionPage/GetRegisteredStallions,"[""p_iRaceId"", ""p_iTopCount""]",read
GET:StallionPage/GetLastSeasonRegisteredStallions,GET,StallionPage/GetLastSeasonRegisteredStallions,"[""p_iRaceId""]",read
GET:StallionPage/Get,GET,StallionPage/Get,"[""p_iStallionId""]",read
GET:StallionPage/GetByLink,GET,StallionPage/GetByLink,"[""p_sLink""]",read
GET:Banner/Get,GET,Banner/Get,"[""p_iId""]",read
GET:Banner/GetBanner,GET,Banner/GetBanner,"[""p_iTopCount""]",read
GET:Color/Get,GET,Color/Get,[],read
GET:Ads/GetPageById,GET,Ads/GetPageById,"[""p_iAdsId""]",read
GET:Ads/GetLastAds,GET,Ads/GetLastAds,"[""p_iTopCount""]",read
GET:Ads/GetMyAds,GET,Ads/GetMyAds,"[""p_sAdsStatusId"", ""p_iPageNo"", ""p_iPageCount""]",read
GET:Ads/GetMyFavoriteAds,GET,Ads/GetMyFavoriteAds,"[""p_iPageNo"", ""p_iPageCount""]",read
GET:Ads/GetMyOfferedAds,GET,Ads/GetMyOfferedAds,"[""p_iPageNo"", ""p_iPageCount""]",read
GET:Pedigree/GetPedigreeWithoutHeader,GET,Pedigree/GetPedigreeWithoutHeader,"[""p_iGenerationCount"", ""p_iFirstId"", ""p_iSecondId""]",read
GET:Pedigree/GetPedigreeReport,GET,Pedigree/GetPedigreeReport,"[""p_iGenerationCount"", ""p_iFirstId"", ""p_iSecondId""]",read
GET:Pedigree/GetFont,GET,Pedigree/GetFont,[],read
GET:BmSire/GetFoalsOfBroodMareSire,GET,BmSire/GetFoalsOfBroodMareSire,"[""p_iHorseId""]",read
GET:PersonType/Get,GET,PersonType/Get,[],read
GET:PersonType/GetAsNameId,GET,PersonType/GetAsNameId,"[""p_iLanguage""]",read
GET:AnalyzeType/Get,GET,AnalyzeType/Get,[],read
GET:AnalyzeType/GetAsNameId,GET,AnalyzeType/GetAsNameId,"[""p_iLanguage""]",read
GET:HorseInfo/GetSireLine,GET,HorseInfo/GetSireLine,"[""p_iRaceId"", ""p_iWinnerTypeId"", ""p_iFoalWinnerTypeId"", ""p_iFatherId""]",read
GET:HorseInfo/GetSiblingsFromFatherByHorseId,GET,HorseInfo/GetSiblingsFromFatherByHorseId,"[""p_iHorseId""]",read
GET:HorseInfo/GetSiblingsFromFatherByFatherId,GET,HorseInfo/GetSiblingsFromFatherByFatherId,"[""p_iFatherId""]",read
GET:HorseInfo/GetSiblingsFromMotherByHorseId,GET,HorseInfo/GetSiblingsFromMotherByHorseId,"[""p_iHorseId""]",read
GET:HorseInfo/GetSiblingsFromMotherByMotherId,GET,HorseInfo/GetSiblingsFromMotherByMotherId,"[""p_iMotherId""]",read
